,email,hash_key,salt,gender,ethnicity,religion,country,faculty,clubs,events
10,DjfE/x@msn.com,b'\xa3Y\xa2>\xf1\xa6\xe7K\xadX\xe2\x0cq\xab\x1b_\x8b\xa8 \xce|\xa4V\xa1&U\x80ui\xe9\xf6y',b'\xc5\xf6\xd1\x07\x86/5\xf6t\xfd1V07\xbf\xbe\x97\x89l\x04\x87\x98\x91\xbdO\xe9\xe2\x0f2\xb2\x1fV',female,canadian,indigenous,United Kingdom,faculty of management,"['Weightlifting Club UBCO', 'Student Independent Research Club', 'Student Independent Research Club', 'Video Game Development Club', 'Enactus UBCO']","['11571', '11856', '11818', '11882', '11919', '11868', '11877', '11880', '11914', '11863', '11299', '11787']"
11,PBgOOXL@msn.com,b'\x8e%\xc4d{\x04\xef\xcd^<\xed\x0e\xe7\n\xd8P\x9a\x83\x84\x1d>\xb8\xe49f<L\x8f\xba\xdf@M',b'8/*q\xa4\xb26c\xdf\xe8\xef)\xbc[~\xa4\x00\x1b\x9f\xc3\xf9\xf0\xa6\xec\xb2\x9dZ9\x11\xd56\x87',male,nepalese,indigenous,New Zealand,school of education,"['Muslim Students Association', 'Horror Movie Club']","['11381', '11885', '11920', '11161', '11877', '11381', '11704']"
12,NtGBiyMhV@rediffmail.com,"b""\xdd\xa3u\xcc\x85.-\xac\x97\x94y\x9c\xd1\x1e\x01\x82\xde')\xe8R\xd7\x02gra\xc9\xc9y\x94\xed\xbe""",b'=i\xf7\x9b\x0b)#\x90\xffW\x19\xae\xc4d\x1a\xe5\x08\xa10\xab\x96\xf2\xde\x13\\5\xa3\x93\xba\\\x1e\xe3',male,persian,christian,Guinea,faculty of creative and critical studies,"['Management Student Association - Accounting Club', 'Golden Key International Honour Society']","['11868', '11876', '11380', '11870', '11883', '11864', '11704', '11127', '11299']"
13,P`evKak@aol.com,b'^\x1c\xb0\x17E3\xd6\x91X\xd5\xfd\xaa\x9a\xf4\x8b\xae\xdd\x84\xdd\x1cU#\t\xc2=7\xcf\x9fZ-\x10\xe8',b'T\xc7BHo\x1e\x19\x87\x16\xf0z\x10/\xcfK\xf85\xdd\xeb\xa6\x9c\xc1\xf31i\x00\xff\x88\xa5F(\xeb',transgender,filipino,judaism,Kazakhstan,faculty of arts and social sciences,"['Weightlifting Club UBCO', 'African Caribbean Student Club', 'Social Work Course Union', 'Wildlife Society UBCO Student Chapter', 'Backcountry Hunters & Anglers', 'Mountain Riders Club', 'Latin American Student Organization', 'Pakistan Students Association', 'Management Student Association - Human Resources Club', 'Games Club']","['11573', '11158', '11163', '11162', '11571', '11166', '11883', '11878', '11704', '11813', '11874', '11829', '11889', '11159', '11376']"
14,QzlTjBkSwdgG@hotmail.com,b'\x80\xc9\x86K\xec\xcc\x8bje\x11\xb7\x15\xbb\x06\x85\xdb@rt\xce\x82\x1ej}\xeb\xce\xa1\x8c{\x1f\xea\xa1',b'U\xe2K\x99\x9d\x9c\x1d\x06\xf0\xbb6\xf7\x12tw\x05\x1fo\x01\x05\x7f\xd9\xc5\xbb\x87a?\xf0U\r\x11\x08',female,pakistani,hindu,Belize,faculty of management,"['Horror Movie Club', 'Philosophy, Politics, and Economics (PPE) Course Union', 'Earth and Environmental Sciences Course Union', 'Age Link', 'Motorsports Club', 'Latin American Student Organization', 'MySmallHelp UBCO', 'Pre-Dental Society', 'Model United Nations Club', 'Hong Kong Student Club', 'Engineering Society at UBC']","['11547', '11300', '11873', '11869', '11913', '11779', '11818', '11601']"
15,JpQkcYnMvz/s@msn.com,"b'k\xe7m?\xa9\x10""\x14\'md@\xa5TVM\x91\xc8\xcb\xcdQ\xc6\xfa\xf5\x87f\xf5\x06\x88\x1d\xde.'","b'\xc7R\xdc\x8b\x95\xbe\xbc\x0cu\xa7\x8c\x08%\x05\x98y\x19\xbb7Lq\x93\x86\x1a\xe7\xfb\\\xaa\xd4,n\xfe'",female,nepalese,muslim,Saint Kitts and Nevis,school of education,"['Punjabi Student Association', 'JDC West', 'Human Kinetics Student Association', 'Geography Course Union', 'Concrete Toboggan Club (GNCTR)', 'Photography Association', 'Sex Positivity Club', 'Concrete Toboggan Club (GNCTR)', 'Formula 1 Club', 'Young Greens of UBCO', 'Canadian Students for Sensible Drug Policy (CSSDP)', 'Bangladeshi Students (ABS)']","['11689', '11168']"
16,CGBzbqJDJilbA@bigpond.com,b'\xd7\xbe\xa5\x87\xd0\xde\xa1\xceL\xfb4@\xa5\xcfMs6\x1b\xa6\xca\xae\x8eO6\x0b\xcfX\x7f\xc0\xe5B\xc2',b'\xb7\x93\xc2O_6g\xe7*X\x1f\xb9\x98f\x91\xa1\x1c\xd7Yj\x9c\xcf\xdf/\xf7\xac\xb8\x18}?\x01\x07',male,carribean,jainism,Albania,faculty of science,"['Management Student Association (MSA)', 'Hope Club UBCO', 'Relay for Life Club', 'Debate Society', 'Beats', 'Nursing Course Union', 'Philosophy, Politics, and Economics (PPE) Course Union', 'International Relations Student Association']","['11860', '10892', '11377', '11718', '11907', '11569', '11907', '11919', '11879']"
17,UhPAsWCzECZ@yahoo.com,b'Z\xba\xc7\r\xa1g\x8d_\xe9X\xad\x88\x82\xff\x84Z5\xbc\x83\xf3_d\xc6\x9b\xb4\xc2\xb8\xb8U:\xb1\xfd',b'\xc2y\xba6\xa1\x1e\xef\xbe!O\x00\xbdL\xf8\xc3#\x9e<\xb2\xf8\x82\xd5\xd8\xb4\x9dt\xf4\x88\xb3\x9d\x99\xbf',male,persian,judaism,Laos,school of education,"['Rock N Roll Club', 'Muslim Students Association', 'Jack.org UBCO Chapter', 'Christina Noble Foundation UBCO', 'Ballroom Dance Club', 'Enactus UBCO', 'Varsity Outdoor Club Okanagan']","['11573', '11383', '11886', '11920', '11707', '11318', '11547', '11165', '11930', '11787']"
18,YHuMoebX@cox.net,b'4\xd6x~i\xa4\x16|\xe4\x943\xc1\x0e\x11\x85\xae\x0c\xec$t\xb8]u\x7f\xc3 \t\x1f5\x16\x16\xb3',b'v?=\xd0\xc3lT4\xc2\n^\xa0\xaf\xe6\xfd\xad\xcev\xe4\xa0\x11\x07\xb0\xd0\x1c\xc0\xae\xd5\xcf\x84\x8c\xd7',female,filipino,hindu,Haiti,faculty of health and social development,"['Girls in Tech', 'Billiards Club', 'Golden Key International Honour Society', 'Blood Club of UBCO', 'Management Student Association - Human Resources Club', 'Japanese Culture Club', 'Ballroom Dance Club', 'Students for Healthy Alternatives and Risk Prevention (SHARP)', 'Sisu UBCO', 'Games Club', 'Concrete Toboggan Club (GNCTR)', 'Age Link']","['11297', '11813', '11716']"
19,rZ_NzKhjb@yahoo.com,b'\xde9\x1bN\xba\x08\xba\xa4\xaa?r\xc7\xba\xa3%P\xe0\xa0\xffM\xc9\x8c\x1d)\xb3\xe69\xd6\xcbB\xdc[',b'X\xb2\n\xf8b\xce\xba\xc9\x1e\xfc\xbf\xdc\xcf\x16\xa51Z\xdfxsw\xcb\x0c\x11\xadr\xfa{\x1f\x9d\xe1*',other,american,jainism,Equatorial Guinea,faculty of management,"['Indian Culture and Dance Club', 'BC Young Liberals']","['11289', '11856']"
20,URyfVgdXIyzMeY@msn.com,"b""\x9e\xdc\xe2\x9c\x11\xc8:\xf8\xb4\xe8\xc62\xe1\x80\xdc\x13r'\x96\xc8\xb7\x88<\xd1Ag\xce\xae'\x9f\xf0\xfb""",b'\x0cB\x1a\xb6-5^\xb4\x1f\xef\x95\xf1\xde\xeb\xa9I3\x1a\x1e\xbb\x8c\x01\xbb\xb8D\x00\xc4d\xbd\xc1\x03\xf1',male,american,christian,Grenada,faculty of health and social development,"['Golden Key International Honour Society', 'Motorsports Club', 'Canadian Students for Sensible Drug Policy (CSSDP)', 'Global Brigades Club', 'Students for Healthy Alternatives and Risk Prevention (SHARP)', 'Quantitative Sciences Course Union', 'Management Student Association - Consulting Club', 'Asian Student Association', 'Punjabi Student Association', 'Punjabi Student Association', 'Nourishing Futures', 'Filipino Student Association', 'UNICEF', 'Social Work Course Union', 'Management Student Association - Entrepreneur Club']","['11858', '11375', '11871', '11164', '11865']"
21,mAyprSpSQ\zuwxif@rediffmail.com,b'\xaeq\xd0\xa1\x84[\xb5w+\xf5\xf4\x8f\xf6\x81\xf39gf\x18\xdd\x04\x83\x08 \x89\x08\xf6\x0c\x93\xcc\x80\xdc',b'9\x97\t;V\xeb\xc6-\xf6\x12\x1c\xe6\xb4\xf8\x90R\x98\x83\xe0\xc8a\x8f\x83\xa9\xda7\xc0\x83\xa59\xf4\xdc',male,asian,muslim,Mauritius,faculty of arts and social sciences,"['Sex Positivity Club', 'Blood Club of UBCO', 'Pink Backpack Club', 'Medieval Club', 'African Caribbean Student Club', 'Nursing Course Union']","['11860', '11912', '11169', '11919', '11883', '11882', '11290', '11876', '11698', '11162', '10896', '11158', '11716', '11857']"
22,gaqJueXivI@msn.com,b'\xebE\x0f\x1e\xb7\xea\xbe\x8f\x0f\xd4\xcc\x1b:\xb9a\xc9\xdd\x808&\xf3X-\x89qw\xef\x12W\xe0+\xd0',b'\xde\xc2\xf5\x8f\x9cc)\xac\xdfZ\xffK\xe8\xa2\xb7{Ro\xdc\xdb0\x1e0\xccD\x910\x8e\x01fj\x0c',female,punjabi,muslim,Iceland,faculty of creative and critical studies,"['Yoga Club', 'Enactus UBCO', ""Nepalese Scholars' Association"", ""Nepalese Scholars' Association"", 'Heatwave Radio', 'Backcountry Hunters & Anglers', 'Beats', 'Girls in Tech', 'Human Kinetics Student Association', 'Management Student Association - Human Resources Club', 'Earth and Environmental Sciences Course Union']","['11888', '11698', '11372', '11160', '11575', '11378', '11567', '11879', '11897', '11862', '11378', '11862', '11877']"
23,vbMXM$qFMorSp@outlook.com,b'\xfc\n)\xe5\x87\x10\xc8z\x9cd\xb8a\xd1\xaa\xd1Fex\rS\xcf:\xccg/\x83\xb4\x87\x15\x1d\xcf\xd2',b'\x93\x0b\xc3\x1c^\xa7\xd6\xbc\xb3\xe5U_\xa6[\x86\x87\x1aI\x00\xc83D\xfd\xe3\xe2\x8a\x90\xae\xbf\xa0\xf9S',male,latin american,judaism,Saint Vincent and the Grenadines,faculty of medicine,"['Power to Change', 'Medieval Club', 'Nursing Course Union', 'Power to Change', 'Aerospace Club', 'University Christian Ministries', 'Model United Nations Club', 'Nursing Course Union', 'BC Young Liberals', 'Asian Student Association', 'StockX Club', 'Amnesty International UBCO', 'Innovate, Design, Sustain Club', 'Management Student Association - Human Resources Club']","['11880', '11842', '11567', '11871', '11289', '11601', '11127', '11376', '11871', '11787', '11372', '11383', '11904', '11869']"
24,gx|riLXoaC@aol.com,b'\xae\xd0\xd9\xc7\xf1\xdawW\x97\xdd\xa2O\x88\xba\x91\x83&\x9b\xfb\xe8\x9c\xb5s\xdeU\xea\xca\x87\x97\xfe\xd13',b'\xea\xc0\xfe\x93\xaf$S\xd5\x82@/j\xa4\xa6\xf6\xf4\xef\xebZ[\x8f\xc7\x1a\x0c\xabP\xda\x9bI\xed1b',male,thai,christian,Portugal,school of education,"['Mental Health Awareness and Advocacy Club (MHAAC)', 'Management Student Association - Marketing Club', 'Rock N Roll Club', 'Cricket Club', 'Backcountry Hunters & Anglers', 'Women in Engineering', 'iGEM UBCO', 'Muslim Students Association', 'MySmallHelp UBCO', 'Model United Nations Club', 'Asian Student Association', 'Backcountry Hunters & Anglers']","['11167', '11880', '11912', '11922', '11497', '10889', '11547', '11293', '11829', '11295', '11916', '11913', '11380']"
25,mEUXC@cox.net,b'/ #S\xd9\xe4VpS^\x7fu.C[\x7f\x13\x8c\xf7\xb4pSS\xd5\xc9\xe2\xd4\xf2\xe4$\xae\x7f',b'.v\xfb\xe2\xb0\xa0\xc6\x97g\x13\xb7]\xf6Av=\xe1\xcb\x8a\x12\xd8\x93z;\x97\x04\xd4l0\xd7\xde\xb1',female,muslim,muslim,Vietnam,school of engineering,"[""It's Lit! Club"", 'Management Student Association - Marketing Club', 'Billiards Club', 'UNICEF', 'Kelowna Ismaili Student Association', 'South Asian Students Association']","['11299', '11662', '11915', '11921', '11881', '11293', '11165']"
26,ImNMqzbtvPWtgOm@rediffmail.com,"b'\x96\xd2r\x8f""\xa6_\xf7P}B\x1f\xf5\x0es:M%\xf9\xed\x9c\x03\x94\xca\\\xd5\x15\xb9\\Yy*'",b'+p\xc6WL\x12\xf4fUQ\x8fH\xf7\xc7\xf6\x18\x1f\xd5\xdd\xcf\xa0\xf8\xf7\x9a\x96(Ol\x17\xa9\xf6\xfd',male,south east asian,jainism,Ukraine,faculty of creative and critical studies,"['Visual Arts Course Union', 'Jack.org UBCO Chapter', 'Kelowna Ismaili Student Association', 'Thai Erawan Club', 'Yoga Club', 'Blood Club of UBCO', ""It's Lit! Club"", 'Management Student Association - Human Resources Club', 'Model United Nations Club', 'Amnesty International UBCO', 'Management Student Association - Marketing Club']","['11864', '11716', '11382', '11718', '11382', '11298', '11787', '11707', '11167', '10896']"
27,ZebvecqwepHMJ@yahoo.com,"b""\x01\xf1w\xd3'\xc1\xaf\xbd\xb1\x8bt\x87v\xc31\xc5\xb30S\xcf`\xdbP\xbf\xdc#AU\xf3\x89\x16\x0e""","b'g\xeb\x01r,\xf4\x07\xb1\xfe\x15\xc3\x8b\xe1x|\x1e\xf4\x05\xcd\xdb\xefX\xf7\x07\xbf4\n\x1d\x81\x8a0\r'",other,nepalese,hindu,Angola,faculty of arts and social sciences,"['BC Young Liberals', 'Heatwave Radio', 'Chemistry Course Union (CCU)', 'Environmental Chemistry Course Union', 'Yoga Club', 'Yoga Club', 'BC Young Liberals', 'Horror Movie Club', 'Pre-Med Club', 'Grow n Glow Club']","['11906', '11497', '11158', '11897', '11905', '11374', '11296', '11885', '11710', '11897', '11866', '11318', '11571']"
28,zYMgnXVhd:@bigpond.com,b'h\xdc^<\x11\xd8\x8d5\xe9`\xaa\xf1B\x016\rl\x9d\xae}\xfc\xdbU2\x89\xa6\xc0\xd3\xe5>\x8f\xe5',"b'\xf8W.\x13\x08H.!\xa5uS\xd9\xe2,\xc1|\x90\xd9\xd1&\x02\x91\x19\xbe\xa3\xa4s\xeb3\\\x1a\xb6'",male,punjabi,jainism,Maldives,school of education,"['Mountain Riders Club', 'Management Student Association - Human Resources Club', 'Student Independent Research Club', ""Persian Students' Club"", 'Kelowna Ismaili Student Association', 'Golf Club', 'Christina Noble Foundation UBCO', 'Visual Arts Course Union', 'Bangladeshi Students (ABS)', 'Student Independent Research Club', 'Weightlifting Club UBCO']","['11707', '11873', '11713']"
29,OeFNvm@gmail.com,b'\xb4_\x9b5\xa8\xfdU\x93\xd2m\x08\x18\x86\xb1s\x9a \x17\xa6\xe4\x8b9\xde\xba&rRn\x9f\x8b2d',b'\xb8]\x0e\xa1\x90\xbc\xe2\xd4\x1a&\x0f\x96\xb4\x16`;\x87\xf0\xf2\x88r?O\xbc\x10\x9f\x12\xb6n%6\x04',male,indian,buddhist,Iran,faculty of health and social development,"['Social Work Course Union', 'Pink Backpack Club', 'Web Development Club', 'Japanese Culture Club', 'Geography Course Union', 'Punjabi Student Association', 'Bhangra Club', 'French Club', 'Pink Backpack Club', 'Ballroom Dance Club', 'BC Young Liberals', 'Jack.org UBCO Chapter']","['11159', '11165', '11856']"
30,HGeJEttqBT@outlook.com,b'\xa2\xd5M=\xc9B\x06 ([i\x15H\xfe\x06\xffu\r\xae\x15\xf6e\xe6.\xf2\xf8\xe6\x10\xb0m\x99;',"b""7\x96\xad+n\x80\xaa\x11,M\xe0\xd73\x15\xd4\xd3j\xcc\x96\xf87\xcfo\xef\xcf'\x0c\xe7\x05d\x17H""",female,chinese,christian,Vanuatu,faculty of medicine,"['Engineering Society at UBC', 'Sport Programming Club', 'Games Club', 'Nursing Course Union', 'Visual Arts Course Union', 'Ballroom Dance Club', 'International Relations Student Association', 'NDP Club', 'Engineering Society at UBC', 'Management Student Association - Human Resources Club', 'Sex Positivity Club', 'Quantitative Sciences Course Union', 'Women in Engineering']","['11710', '11374', '11379', '11383']"
31,zrDynp@outlook.com,b'\xd1\x00mr\x1d*\x9b\xbd\xa0\xf4\x01R+:\xab%\xd8\x9c;\x1b\xeeP\xe2+&\xee\xc2TX1\xbf\x17',"b'|\xf2\x9d\xa9j\x8eH\x97V@\xfe\xf9\xf3I\x9e""\x86\x17Z\xdf\x9bM\xe8|P\xc2\x12\x0fY\x15\xe0\xae'",other,punjabi,indigenous,Tanzania,faculty of arts and social sciences,"['Girls in Tech', 'StockX Club', 'Grow n Glow Club', 'Bible Discussion Club', 'Heatwave Radio']","['11166', '11873', '11915', '11883', '11371', '11374', '11380', '11842', '11865', '11710', '11867', '11296']"
32,EQbfatBtqh@gmail.com,b'K\xd9\xc93\xfc\xaa\xf0\x96_\x9d=00j\x80\xcb\x9e\xeb#\xe6w\x88\x9f\x84\xf9i\x11J\x84\xd3wc',b'5\x98PM-O5\x9d<\xe0S\xab\xdf\xf4\xe8\x0f$\x04H\x19\xb9x)9O\x96<\xcc\xd3\xe2\x05\xc8',female,french,judaism,Iraq,faculty of health and social development,"['Mental Health Awareness and Advocacy Club (MHAAC)', 'Punjabi Student Association', 'Debate Society', 'Hong Kong Student Club', 'Christina Noble Foundation UBCO']","['11371', '11164', '11713']"
33,"ISVqccPhEVMNsx""@aol.com",b'\xb8q\xf7\xab\x81\xf7$\xaeEj\x89\x93]\xa1\xb1\x87\xc7\xb8\x93\r.\xf5\x89y\x1b\xaf\xcc\xcc\x1e8\x9e\xc2',b'Y\xab\xe8\xeb\xe9\xf7\xbf\x8d\xe3\x87kv\x89\xbd\xfe\x19\xd0\xbc\x1c\xd1\xcf\xa0\x8e\xf13\xa6\xc3\xb2\xa7\x10\xe8\x8e',male,bangladeshi,jainism,South Korea,school of engineering,"['Sisu UBCO', 'French Club', 'JDC West', 'Web Development Club', 'Heatwave Radio', 'Web Development Club']","['11168', '11922', '11872', '11818', '11889', '11374', '11170', '11295', '11158']"
34,KtmtPhTTtjnoHx@yahoo.com,b'\xb5\x19\xa2\xab\x05p\xe2\x99\x8c\xcf\xbd?DU\x0e\x04\xf4)\xc36\xff\x02\xa9\x1a2fX\x81\xc7\x9fqq',b'\xf5\x97\xf0\x8c\x15l\xed\x180\xae \xec\xf9wxx\xa6\xaa\xc4!\xec5\xe8\xd2\xfb\xfb\x8c\x0c\xd6\xe2\xed\xa8',female,south east asian,muslim,Equatorial Guinea,faculty of medicine,"['Thai Erawan Club', 'Design Club', 'Canadian Students for Sensible Drug Policy (CSSDP)', 'Backcountry Hunters & Anglers', 'South Asian Students Association', 'iSoto (Indonesian Students of the Okanagan)', 'Age Link', 'South Asian Students Association', 'Girls in Tech', 'Hong Kong Student Club', ""Inclusive Men's Health Partnership""]","['11295', '11857', '11168', '11882', '11371', '11701', '11571']"
35,qeafdThPVoL@gmail.com,b'\x918\x04\xc4\xd7\xd8\xe3\xad\x96ut\x89\x0f\x03\xf8\xb2z\xc8a%I\xaa\xb6\xec\xb0\xad\\6\xd8\xbd:D',"b'\xff\xde\xc6\xa87WM\xe4\xe1,\x82\x13\xd4\xd1Z\x1fa\x808:\xd7\xac\x93\xed\x1b<\xa4\xa9\xdb\xb3P\x8f'",transgender,asian,jainism,Andorra,faculty of creative and critical studies,['Wildlife Society UBCO Student Chapter'],"['11298', '11881', '11569']"
36,H:RfvzPtL@bigpond.com,"b'n\xb0\xd8\xf0&|N\x96\xe8\xc4\x94\xa1NR\x16\x9f\x1b^\x91\xe5Ht\x00\x07=,\xfd\x95\xd3\xb4\x02\xda'","b'\xee\x97>zU\xaa\xbd\x15\x03#\xc9T\xa2\xd5\xea\xea\xa2\xca\x99\x06,\xcc\xf5\x81a\n\xcd\xb9\xbe\x84\xb3\xf9'",female,carribean,sikhism,Kazakhstan,faculty of science,"['Filipino Student Association', 'Geography Course Union', 'Pre-Dental Society', 'Young Greens of UBCO', 'MySmallHelp UBCO', 'Weightlifting Club UBCO', 'South Asian Students Association', 'JDC West']","['10889', '11861', '11813', '11701', '11382', '11698', '11704', '11161', '11860', '11882', '11829', '11881', '11294', '11842', '11701']"
37,XUhIKPQaZbmkl@yahoo.com,b'\xeesz\x94\xc7U\xbb\xa6\xd2T\xea\xb3>\xdc+<\xa6\x13\xc1CmY\xa4Bq\xc1\xc8\x86r*\xfb\x9f',b'\xb1R\x91Q\x10\xb1;\x8b\x18=\xab -\xc89\xa6\x95\x90E\x99\x90\xedW( \xed>\x94mi\xcd\x9c',female,african,jainism,Cape Verde,faculty of creative and critical studies,"['French Club', 'Debate Society', 'Ballroom Dance Club', 'Management Student Association - Accounting Club', 'Muslim Students Association', 'Earth and Environmental Sciences Course Union', 'Horror Movie Club', 'Punjabi Student Association', 'Women in Engineering', 'Video Game Development Club', 'Innovate, Design, Sustain Club', 'Web Development Club', 'Young Greens of UBCO', ""Persian Students' Club""]","['11784', '11865', '11673', '11860', '11905', '11167', '11378', '11904', '11701', '11297', '11567', '11872', '11163']"
